	Kingdom	Phylum	Class	Order	Family	Genus	ASV
ASV197	Bacteria	NA	NA	NA	NA	NA	ASV197
ASV198	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	ASV198
ASV199	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	ASV199
ASV200	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA	ASV200
ASV201	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	ASV201
ASV202	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Delftia	ASV202
ASV203	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Oceanirhabdus	ASV203
ASV204	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	NA	NA	ASV204
ASV205	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Albidovulum	ASV205
ASV206	Eukaryota	NA	NA	NA	NA	NA	ASV206
ASV207	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group	ASV207
ASV208	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Blastocatellales	Blastocatellaceae	Blastocatella	ASV208
ASV209	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group	ASV209
ASV210	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonadaceae	Endozoicomonas	ASV210
ASV211	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	NA	ASV211
ASV212	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Wenyingzhuangia	ASV212
ASV213	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	ASV213
ASV214	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_II	NA	ASV214
ASV215	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	NA	ASV215
ASV216	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Nisaeaceae	OM75_clade	ASV216
ASV217	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XII	Fusibacter	ASV217
ASV218	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	ASV218
ASV219	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	ASV219
ASV220	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	ASV220
ASV221	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	NA	NA	ASV221
ASV222	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	ASV222
ASV223	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	NA	NA	ASV223
ASV224	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	ASV224
ASV225	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola	ASV225
ASV226	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Cohaesibacter	ASV226
ASV227	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	ASV227
ASV228	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	ASV228
